old_local,new_local,phase2_flag
0_10_6_8_2_3_1_11_5_7_4_9,0_10_6_8_2_3_1_11_5_7_4_9,0
0_10_6_8_2_3_5_1_4_7_11_9,0_10_6_8_2_3_5_1_4_7_11_9,0
0_10_6_8_3_2_7_9_5_4_1_11,0_10_6_8_3_2_7_9_5_4_1_11,0
0_10_6_8_4_2_9_11_7_5_1_3,0_10_6_8_4_2_9_11_7_5_1_3,0
0_10_6_8_9_7_11_3_1_5_2_4,0_10_6_8_9_7_11_3_1_5_2_4,0
0_10_6_9_11_1_4_3_8_7_2_5,0_10_6_9_11_1_4_3_8_7_2_5,0
0_10_6_9_1_4_2_3_7_5_11_8,0_10_6_9_1_4_2_3_7_5_11_8,0
0_10_6_9_5_1_2_11_8_3_7_4,0_10_6_9_5_1_2_11_8_3_7_4,0
0_10_6_9_7_2_4_3_5_8_11_1,0_10_6_9_7_2_4_3_5_8_11_1,0
0_10_7_11_2_1_5_4_3_6_9_8,0_10_7_11_2_1_5_4_3_6_9_8,0
0_10_7_11_8_9_4_6_5_3_1_2,0_10_7_11_8_9_4_6_5_3_1_2,0
0_10_7_1_11_2_8_4_5_9_6_3,0_10_7_1_11_2_8_4_5_9_6_3,0
0_10_7_1_4_2_11_5_8_6_3_9,0_10_7_1_4_2_11_5_8_6_3_9,0
0_10_7_1_9_5_2_11_3_6_8_4,0_10_7_1_9_5_2_11_3_6_8_4,0
0_10_7_2_4_6_8_3_9_5_1_11,0_10_7_2_4_6_8_3_9_5_1_11,0
0_10_7_2_4_8_11_1_3_6_9_5,0_10_7_2_4_8_11_1_3_6_9_5,0
0_10_7_2_4_8_5_1_6_11_9_3,0_10_7_2_4_8_5_1_6_11_9_3,0
0_10_7_2_6_11_9_4_1_3_5_8,0_10_7_2_6_11_9_4_1_3_5_8,0
0_10_7_2_8_3_5_1_9_6_11_4,0_10_7_2_8_3_5_1_9_6_11_4,0
0_10_7_2_8_6_3_4_9_11_1_5,0_10_7_2_8_6_3_4_9_11_1_5,0
0_10_7_3_1_9_2_6_8_5_4_11,0_10_7_3_1_9_2_6_8_5_4_11,0
0_10_7_3_5_2_9_1_11_8_6_4,0_10_7_3_5_2_9_1_11_8_6_4,0
0_10_7_3_6_1_8_11_9_4_2_5,0_10_7_3_6_1_8_11_9_4_2_5,0
0_10_7_3_8_9_6_4_5_1_2_11,0_10_7_3_8_9_6_4_5_1_2_11,0
0_10_7_4_2_11_9_6_3_1_8_5,0_10_7_4_2_11_9_6_3_1_8_5,0
0_10_7_4_2_3_1_6_8_5_9_11,0_10_7_4_2_3_1_6_8_5_9_11,0
0_10_7_4_5_8_3_11_9_2_1_6,0_10_7_4_5_8_3_11_9_2_1_6,0
0_10_7_4_6_9_5_11_2_8_1_3,0_10_7_4_6_9_5_11_2_8_1_3,0
0_10_7_4_8_6_1_9_11_2_5_3,0_10_7_4_8_6_1_9_11_2_5_3,0
0_10_7_4_9_5_3_1_8_2_6_11,0_10_7_4_9_5_3_1_8_2_6_11,0
0_10_7_5_1_11_3_6_4_9_8_2,0_10_7_5_1_11_3_6_4_9_8_2,0
0_10_7_5_2_4_11_8_9_1_6_3,0_10_7_5_2_4_11_8_9_1_6_3,0
0_10_7_5_2_8_11_1_4_6_9_3,0_10_7_5_2_8_11_1_4_6_9_3,0
0_10_7_5_2_9_11_8_6_3_1_4,0_10_7_5_2_9_11_8_6_3_1_4,0
0_10_7_5_3_4_2_1_11_8_9_6,0_10_7_5_3_4_2_1_11_8_9_6,0
0_10_7_5_3_9_11_1_4_6_8_2,0_10_7_5_3_9_11_1_4_6_8_2,0
0_10_7_5_4_2_11_9_8_6_3_1,0_10_7_5_4_2_11_9_8_6_3_1,0
0_10_7_5_4_2_1_3_6_8_9_11,0_10_7_5_4_2_1_3_6_8_9_11,0
0_10_7_5_6_11_9_8_1_3_2_4,0_10_7_5_6_11_9_8_1_3_2_4,0
0_10_7_5_8_1_6_4_11_9_3_2,0_10_7_5_8_1_6_4_11_9_3_2,0
0_10_7_6_11_9_4_3_1_5_8_2,0_10_7_6_11_9_4_3_1_5_8_2,0
0_10_7_6_2_1_11_4_9_8_3_5,0_10_7_6_2_1_11_4_9_8_3_5,0
0_10_7_6_2_4_9_8_3_5_1_11,0_10_7_6_2_4_9_8_3_5_1_11,0
0_10_7_6_3_5_4_9_2_1_11_8,0_10_7_6_3_5_4_9_2_1_11_8,0
0_10_7_6_4_2_3_5_8_9_11_1,0_10_7_6_4_2_3_5_8_9_11_1,0
0_10_7_6_4_2_8_9_3_1_11_5,0_10_7_6_4_2_8_9_3_1_11_5,0
0_10_7_6_4_9_8_1_2_3_5_11,0_10_7_6_4_9_8_1_2_3_5_11,0
0_10_7_8_1_4_3_5_9_6_2_11,0_10_7_8_1_4_3_5_9_6_2_11,0
0_10_7_8_9_11_6_4_1_2_3_5,0_10_7_8_9_11_6_4_1_2_3_5,0
0_10_7_9_2_8_6_11_1_5_4_3,0_10_7_9_2_8_6_11_1_5_4_3,0
0_10_8_11_6_1_9_4_3_5_7_2,0_10_8_11_6_1_9_4_3_5_7_2,0
0_10_8_11_9_7_4_2_6_5_3_1,0_10_8_11_9_7_4_2_6_5_3_1,0
0_10_8_1_11_7_2_6_5_9_4_3,0_10_8_1_11_7_2_6_5_9_4_3,0
0_10_8_1_11_9_7_4_6_2_3_5,0_10_8_1_11_9_7_4_6_2_3_5,0
0_10_8_1_3_5_6_4_2_7_9_11,0_10_8_1_3_5_6_4_2_7_9_11,0
0_10_8_2_3_9_6_1_5_11_7_4,0_10_8_2_3_9_6_1_5_11_7_4,0
0_10_8_2_4_6_11_9_7_1_3_5,0_10_8_2_4_6_11_9_7_1_3_5,0
0_10_8_2_4_6_1_11_9_3_5_7,0_10_8_2_4_6_1_11_9_3_5_7,0
0_10_8_2_7_1_4_11_5_3_9_6,0_10_8_2_7_1_4_11_5_3_9_6,0
0_10_8_2_7_3_11_5_6_4_1_9,0_10_8_2_7_3_11_5_6_4_1_9,0
0_10_8_2_7_4_3_11_1_5_6_9,0_10_8_2_7_4_3_11_1_5_6_9,0
0_10_8_3_1_11_6_4_2_9_7_5,0_10_8_3_1_11_6_4_2_9_7_5,0
0_10_8_3_1_5_6_4_2_9_7_11,0_10_8_3_1_5_6_4_2_9_7_11,0
0_10_8_3_1_7_5_9_11_2_6_4,0_10_8_3_1_7_5_9_11_2_6_4,0
0_10_8_3_2_5_1_11_9_7_6_4,0_10_8_3_2_5_1_11_9_7_6_4,0
0_10_8_3_5_2_4_11_1_9_6_7,0_10_8_3_5_2_4_11_1_9_6_7,0
0_10_8_3_5_7_6_4_2_9_11_1,0_10_8_3_5_7_6_4_2_9_11_1,0
0_10_8_3_6_9_7_5_1_4_2_11,0_10_8_3_6_9_7_5_1_4_2_11,0
0_10_8_3_7_5_9_11_1_6_2_4,0_10_8_3_7_5_9_11_1_6_2_4,0
0_10_8_3_9_4_2_6_5_1_11_7,0_10_8_3_9_4_2_6_5_1_11_7,0
0_10_8_4_11_6_1_9_7_5_2_3,0_10_8_4_11_6_1_9_7_5_2_3,0
0_10_8_4_2_6_3_5_1_11_9_7,0_10_8_4_2_6_3_5_1_11_9_7,0
0_10_8_4_2_7_6_3_9_5_1_11,0_10_8_4_2_7_6_3_9_5_1_11,0
0_10_8_4_3_6_5_11_9_1_2_7,0_10_8_4_3_6_5_11_9_1_2_7,0
0_10_8_4_5_7_1_11_3_9_6_2,0_10_8_4_5_7_1_11_3_9_6_2,0
0_10_8_5_1_4_7_11_9_2_6_3,0_10_8_5_1_4_7_11_9_2_6_3,0
0_10_8_5_1_9_4_11_3_7_6_2,0_10_8_5_1_9_4_11_3_7_6_2,0
0_10_8_5_2_9_6_3_1_11_7_4,0_10_8_5_2_9_6_3_1_11_7_4,0
0_10_8_5_3_11_2_7_4_1_9_6,0_10_8_5_3_11_2_7_4_1_9_6,0
0_10_8_5_3_1_2_4_6_7_9_11,0_10_8_5_3_1_2_4_6_7_9_11,0
0_10_8_5_3_1_6_4_2_11_9_7,0_10_8_5_3_1_6_4_2_11_9_7,0
0_10_8_5_3_1_7_9_11_2_4_6,0_10_8_5_3_1_7_9_11_2_4_6,0
0_10_8_5_3_7_2_11_1_9_6_4,0_10_8_5_3_7_2_11_1_9_6_4,0
0_10_8_5_3_9_6_2_1_11_7_4,0_10_8_5_3_9_6_2_1_11_7_4,0
0_10_8_5_7_2_4_11_6_9_3_1,0_10_8_5_7_2_4_11_6_9_3_1,0
0_10_8_6_1_7_9_3_2_11_5_4,0_10_8_6_1_7_9_3_2_11_5_4,0
0_10_8_6_2_4_1_5_3_11_9_7,0_10_8_6_2_4_1_5_3_11_9_7,0
0_10_8_6_2_7_11_1_3_5_9_4,0_10_8_6_2_7_11_1_3_5_9_4,0
0_10_8_6_3_11_7_4_1_9_5_2,0_10_8_6_3_11_7_4_1_9_5_2,0
0_10_8_6_3_1_4_11_9_2_7_5,0_10_8_6_3_1_4_11_9_2_7_5,0
0_10_8_6_4_2_11_9_7_5_3_1,0_10_8_6_4_2_11_9_7_5_3_1,0
0_10_8_6_4_2_1_11_9_7_5_3,0_10_8_6_4_2_1_11_9_7_5_3,0
0_10_8_6_4_2_1_3_5_7_9_11,0_10_8_6_4_2_1_3_5_7_9_11,0
0_10_8_6_4_2_3_5_7_9_11_1,0_10_8_6_4_2_3_5_7_9_11_1,0
0_10_8_6_4_2_9_7_1_11_5_3,0_10_8_6_4_2_9_7_1_11_5_3,0
0_10_8_6_4_3_5_7_9_11_1_2,0_10_8_6_4_3_5_7_9_11_1_2,0
0_10_8_6_4_3_7_5_2_1_11_9,0_10_8_6_4_3_7_5_2_1_11_9,0
0_10_8_6_5_2_7_4_3_1_11_9,0_10_8_6_5_2_7_4_3_1_11_9,0
0_10_8_6_5_4_7_9_11_1_2_3,0_10_8_6_5_4_7_9_11_1_2_3,0
0_10_8_6_5_7_9_2_3_1_11_4,0_10_8_6_5_7_9_2_3_1_11_4,0
0_10_8_7_11_6_3_2_1_5_9_4,0_10_8_7_11_6_3_2_1_5_9_4,0
0_10_8_7_11_9_5_1_3_2_4_6,0_10_8_7_11_9_5_1_3_2_4_6,0
0_10_8_7_11_9_6_4_2_5_3_1,0_10_8_7_11_9_6_4_2_5_3_1,0
0_10_8_7_4_2_1_3_5_6_9_11,0_10_8_7_4_2_1_3_5_6_9_11,0
0_10_8_7_4_2_6_5_3_1_11_9,0_10_8_7_4_2_6_5_3_1_11_9,0
0_10_8_7_5_2_11_1_3_4_6_9,0_10_8_7_5_2_11_1_3_4_6_9,0
0_10_8_7_5_3_2_4_6_9_11_1,0_10_8_7_5_3_2_4_6_9_11_1,0
0_10_8_7_5_3_6_4_2_1_11_9,0_10_8_7_5_3_6_4_2_1_11_9,0
0_10_8_7_6_5_9_11_1_2_3_4,0_10_8_7_6_5_9_11_1_2_3_4,0
0_10_8_9_4_1_3_6_7_2_5_11,0_10_8_9_4_1_3_6_7_2_5_11,0
0_10_8_9_5_6_7_3_4_1_2_11,0_10_8_9_5_6_7_3_4_1_2_11,0
0_10_8_9_6_3_2_1_5_11_4_7,0_10_8_9_6_3_2_1_5_11_4_7,0
0_10_8_9_7_11_3_5_1_2_4_6,0_10_8_9_7_11_3_5_1_2_4_6,0
0_10_8_9_7_5_6_4_2_3_1_11,0_10_8_9_7_5_6_4_2_3_1_11,0
0_10_9_11_1_2_5_7_8_6_4_3,0_10_9_11_1_2_5_7_8_6_4_3,0
0_10_9_11_1_5_7_8_4_2_3_6,0_10_9_11_1_5_7_8_4_2_3_6,0
0_10_9_11_2_7_1_8_4_6_5_3,0_10_9_11_2_7_1_8_4_6_5_3,0
0_10_9_11_3_5_6_8_1_7_2_4,0_10_9_11_3_5_6_8_1_7_2_4,0
0_10_9_11_6_8_7_4_5_3_1_2,0_10_9_11_6_8_7_4_5_3_1_2,0
0_10_9_11_7_2_8_1_4_6_5_3,0_10_9_11_7_2_8_1_4_6_5_3,0
0_10_9_11_7_8_6_5_2_3_1_4,0_10_9_11_7_8_6_5_2_3_1_4,0
0_10_9_11_8_1_7_2_5_3_4_6,0_10_9_11_8_1_7_2_5_3_4_6,0
0_10_9_11_8_3_7_1_2_5_6_4,0_10_9_11_8_3_7_1_2_5_6_4,0
0_10_9_11_8_6_5_3_7_4_2_1,0_10_9_11_8_6_5_3_7_4_2_1,0
0_10_9_11_8_7_1_2_5_3_4_6,0_10_9_11_8_7_1_2_5_3_4_6,0
0_10_9_11_8_7_5_4_6_3_2_1,0_10_9_11_8_7_5_4_6_3_2_1,0
0_10_9_11_8_7_6_5_4_3_1_2,0_10_9_11_8_7_6_5_4_3_1_2,0
0_10_9_1_11_2_4_6_8_3_5_7,0_10_9_1_11_2_4_6_8_3_5_7,0
0_10_9_1_4_8_7_2_5_11_3_6,0_10_9_1_4_8_7_2_5_11_3_6,0
0_10_9_1_7_3_4_11_2_5_8_6,0_10_9_1_7_3_4_11_2_5_8_6,0
0_10_9_2_11_7_1_4_8_3_5_6,0_10_9_2_11_7_1_4_8_3_5_6,0
0_10_9_2_7_3_4_8_11_6_1_5,0_10_9_2_7_3_4_8_11_6_1_5,0
0_10_9_2_8_5_6_11_3_4_7_1,0_10_9_2_8_5_6_11_3_4_7_1,0
0_10_9_2_8_7_4_6_5_11_3_1,0_10_9_2_8_7_4_6_5_11_3_1,0
0_10_9_3_1_2_7_4_11_6_8_5,0_10_9_3_1_2_7_4_11_6_8_5,0
0_10_9_3_4_6_7_5_11_1_2_8,0_10_9_3_4_6_7_5_11_1_2_8,0
0_10_9_3_4_6_8_11_2_7_1_5,0_10_9_3_4_6_8_11_2_7_1_5,0
0_10_9_3_6_2_4_8_5_7_11_1,0_10_9_3_6_2_4_8_5_7_11_1,0
0_10_9_3_7_5_11_2_1_4_8_6,0_10_9_3_7_5_11_2_1_4_8_6,0
0_10_9_3_7_6_1_11_8_5_2_4,0_10_9_3_7_6_1_11_8_5_2_4,0
0_10_9_4_2_5_6_7_11_1_3_8,0_10_9_4_2_5_6_7_11_1_3_8,0
0_10_9_4_3_6_8_5_11_1_7_2,0_10_9_4_3_6_8_5_11_1_7_2,0
0_10_9_4_3_6_8_7_5_1_11_2,0_10_9_4_3_6_8_7_5_1_11_2,0
0_10_9_4_3_7_5_8_1_2_6_11,0_10_9_4_3_7_5_8_1_2_6_11,0
0_10_9_5_2_7_1_8_11_3_4_6,0_10_9_5_2_7_1_8_11_3_4_6,0
0_10_9_5_6_1_4_7_8_11_2_3,0_10_9_5_6_1_4_7_8_11_2_3,0
0_10_9_5_6_2_3_11_7_1_8_4,0_10_9_5_6_2_3_11_7_1_8_4,0
0_10_9_5_7_2_3_4_8_11_6_1,0_10_9_5_7_2_3_4_8_11_6_1,0
0_10_9_6_4_2_7_5_3_1_11_8,0_10_9_6_4_2_7_5_3_1_11_8,0
0_10_9_6_4_3_5_7_8_11_1_2,0_10_9_6_4_3_5_7_8_11_1_2,0
0_10_9_6_5_1_11_3_8_4_7_2,0_10_9_6_5_1_11_3_8_4_7_2,0
0_10_9_6_5_2_1_3_4_7_8_11,0_10_9_6_5_2_1_3_4_7_8_11,0
0_10_9_6_7_8_3_11_5_2_4_1,0_10_9_6_7_8_3_11_5_2_4_1,0
0_10_9_7_4_2_1_11_8_6_5_3,0_10_9_7_4_2_1_11_8_6_5_3,0
0_10_9_7_4_2_3_5_6_8_11_1,0_10_9_7_4_2_3_5_6_8_11_1,0
0_10_9_7_5_2_1_3_4_6_8_11,0_10_9_7_5_2_1_3_4_6_8_11,0
0_10_9_7_5_3_11_2_1_8_6_4,0_10_9_7_5_3_11_2_1_8_6_4,0
0_10_9_7_5_4_1_2_3_11_6_8,0_10_9_7_5_4_1_2_3_11_6_8,0
0_10_9_7_5_4_1_8_6_2_3_11,0_10_9_7_5_4_1_8_6_2_3_11,0
0_10_9_7_5_8_6_4_3_1_11_2,0_10_9_7_5_8_6_4_3_1_11_2,0
0_10_9_7_6_8_4_11_1_5_2_3,0_10_9_7_6_8_4_11_1_5_2_3,0
0_10_9_8_11_1_6_4_3_2_5_7,0_10_9_8_11_1_6_4_3_2_5_7,0
0_10_9_8_1_4_5_7_3_6_2_11,0_10_9_8_1_4_5_7_3_6_2_11,0
0_10_9_8_3_1_11_6_5_2_4_7,0_10_9_8_3_1_11_6_5_2_4_7,0
0_10_9_8_3_4_5_2_1_6_7_11,0_10_9_8_3_4_5_2_1_6_7_11,0
0_10_9_8_4_2_3_5_6_7_11_1,0_10_9_8_4_2_3_5_6_7_11_1,0
0_10_9_8_5_7_1_6_2_3_4_11,0_10_9_8_5_7_1_6_2_3_4_11,0
0_10_9_8_6_2_1_3_4_5_7_11,0_10_9_8_6_2_1_3_4_5_7_11,0
0_10_9_8_6_7_3_4_5_11_1_2,0_10_9_8_6_7_3_4_5_11_1_2,0
0_10_9_8_7_2_1_3_4_5_6_11,0_10_9_8_7_2_1_3_4_5_6_11,0
0_10_9_8_7_5_11_1_2_3_4_6,0_10_9_8_7_5_11_1_2_3_4_6,0
0_10_9_8_7_6_11_1_2_3_4_5,0_10_9_8_7_6_11_1_2_3_4_5,0
0_10_9_8_7_6_3_2_1_4_5_11,0_10_9_8_7_6_3_2_1_4_5_11,0
0_11_10_1_2_3_6_5_4_7_8_9,0_11_10_1_2_3_6_5_4_7_8_9,0
0_11_10_1_2_3_7_8_9_6_5_4,0_11_10_1_2_3_7_8_9_6_5_4,0
0_11_10_1_2_3_8_9_6_5_7_4,0_11_10_1_2_3_8_9_6_5_7_4,0
0_11_10_1_2_4_5_3_6_8_7_9,0_11_10_1_2_4_5_3_6_8_7_9,0
0_11_10_1_2_8_7_6_3_4_5_9,0_11_10_1_2_8_7_6_3_4_5_9,0
0_11_10_1_2_9_3_4_7_8_5_6,0_11_10_1_2_9_3_4_7_8_5_6,0
0_11_10_1_2_9_3_4_8_5_7_6,0_11_10_1_2_9_3_4_8_5_7_6,0
0_11_10_1_3_2_4_9_8_6_5_7,0_11_10_1_3_2_4_9_8_6_5_7,0
0_11_10_1_3_8_7_5_2_9_4_6,0_11_10_1_3_8_7_5_2_9_4_6,0
0_11_10_1_5_3_8_6_9_4_7_2,0_11_10_1_5_3_8_6_9_4_7_2,0
0_11_10_1_8_3_6_5_4_7_2_9,0_11_10_1_8_3_6_5_4_7_2_9,0
0_11_10_1_8_9_3_4_5_6_2_7,0_11_10_1_8_9_3_4_5_6_2_7,0
0_11_10_1_9_4_5_6_2_7_8_3,0_11_10_1_9_4_5_6_2_7_8_3,0
0_11_10_1_9_5_2_8_6_4_3_7,0_11_10_1_9_5_2_8_6_4_3_7,0
0_11_10_2_1_5_9_4_8_7_3_6,0_11_10_2_1_5_9_4_8_7_3_6,0
0_11_10_2_1_8_3_4_9_6_5_7,0_11_10_2_1_8_3_4_9_6_5_7,0
0_11_10_2_3_5_7_6_8_1_9_4,0_11_10_2_3_5_7_6_8_1_9_4,0
0_11_10_2_3_9_8_7_5_6_4_1,0_11_10_2_3_9_8_7_5_6_4_1,0
0_11_10_2_4_9_7_1_6_8_5_3,0_11_10_2_4_9_7_1_6_8_5_3,0
0_11_10_2_6_1_5_9_4_8_3_7,0_11_10_2_6_1_5_9_4_8_3_7,0
0_11_10_2_6_9_1_8_3_7_4_5,0_11_10_2_6_9_1_8_3_7_4_5,0
0_11_10_2_9_7_1_3_8_4_5_6,0_11_10_2_9_7_1_3_8_4_5_6,0
0_11_10_3_2_1_6_5_4_9_8_7,0_11_10_3_2_1_6_5_4_9_8_7,0
0_11_10_3_5_6_7_8_1_2_4_9,0_11_10_3_5_6_7_8_1_2_4_9,0
0_11_10_3_6_5_8_4_7_1_2_9,0_11_10_3_6_5_8_4_7_1_2_9,0
0_11_10_4_2_1_3_6_5_9_7_8,0_11_10_4_2_1_3_6_5_9_7_8,0
0_11_10_4_2_9_3_8_7_1_5_6,0_11_10_4_2_9_3_8_7_1_5_6,0
0_11_10_4_5_6_3_2_1_7_8_9,0_11_10_4_5_6_3_2_1_7_8_9,0
0_11_10_4_5_6_9_8_7_1_2_3,0_11_10_4_5_6_9_8_7_1_2_3,0
0_11_10_4_5_9_7_1_2_6_8_3,0_11_10_4_5_9_7_1_2_6_8_3,0
0_11_10_4_6_2_3_1_8_9_5_7,0_11_10_4_6_2_3_1_8_9_5_7,0
0_11_10_4_6_7_9_3_8_5_2_1,0_11_10_4_6_7_9_3_8_5_2_1,0
0_11_10_4_8_7_3_1_2_6_5_9,0_11_10_4_8_7_3_1_2_6_5_9,0
0_11_10_4_8_9_3_7_6_5_2_1,0_11_10_4_8_9_3_7_6_5_2_1,0
0_11_10_4_9_6_3_8_5_7_2_1,0_11_10_4_9_6_3_8_5_7_2_1,0
0_11_10_5_4_3_2_9_8_7_6_1,0_11_10_5_4_3_2_9_8_7_6_1,0
0_11_10_5_6_1_2_7_8_3_4_9,0_11_10_5_6_1_2_7_8_3_4_9,0
0_11_10_5_6_9_7_1_2_8_3_4,0_11_10_5_6_9_7_1_2_8_3_4,0
0_11_10_5_8_9_2_3_7_6_1_4,0_11_10_5_8_9_2_3_7_6_1_4,0
0_11_10_6_2_4_5_9_8_7_3_1,0_11_10_6_2_4_5_9_8_7_3_1,0
0_11_10_6_2_7_1_8_9_3_5_4,0_11_10_6_2_7_1_8_9_3_5_4,0
0_11_10_6_3_2_1_9_7_8_5_4,0_11_10_6_3_2_1_9_7_8_5_4,0
0_11_10_6_4_5_2_1_3_7_8_9,0_11_10_6_4_5_2_1_3_7_8_9,0
0_11_10_6_4_5_8_7_9_1_2_3,0_11_10_6_4_5_8_7_9_1_2_3,0
0_11_10_6_5_4_1_2_3_7_8_9,0_11_10_6_5_4_1_2_3_7_8_9,0
0_11_10_6_5_4_7_8_9_1_2_3,0_11_10_6_5_4_7_8_9_1_2_3,0
0_11_10_6_7_1_2_5_4_3_8_9,0_11_10_6_7_1_2_5_4_3_8_9,0
0_11_10_7_1_2_3_6_5_4_8_9,0_11_10_7_1_2_3_6_5_4_8_9,0
0_11_10_7_5_4_1_2_3_6_8_9,0_11_10_7_5_4_1_2_3_6_8_9,0
0_11_10_7_5_9_3_4_1_8_6_2,0_11_10_7_5_9_3_4_1_8_6_2,0
0_11_10_7_6_1_2_5_4_3_9_8,0_11_10_7_6_1_2_5_4_3_9_8,0
0_11_10_7_6_2_3_4_5_8_9_1,0_11_10_7_6_2_3_4_5_8_9_1,0
0_11_10_7_6_5_2_1_4_3_8_9,0_11_10_7_6_5_2_1_4_3_8_9,0
0_11_10_7_6_9_5_4_2_3_1_8,0_11_10_7_6_9_5_4_2_3_1_8,0
0_11_10_7_8_9_1_2_3_6_5_4,0_11_10_7_8_9_1_2_3_6_5_4,0
0_11_10_7_8_9_3_2_6_5_4_1,0_11_10_7_8_9_3_2_6_5_4_1,0
0_11_10_7_8_9_6_5_4_1_2_3,0_11_10_7_8_9_6_5_4_1_2_3,0
0_11_10_7_9_8_6_5_2_4_3_1,0_11_10_7_9_8_6_5_2_4_3_1,0
0_11_10_8_4_3_5_6_7_9_1_2,0_11_10_8_4_3_5_6_7_9_1_2,0
0_11_10_8_4_3_5_7_9_6_2_1,0_11_10_8_4_3_5_7_9_6_2_1,0
0_11_10_8_6_2_3_4_5_7_9_1,0_11_10_8_6_2_3_4_5_7_9_1,0
0_11_10_8_6_4_1_2_3_5_7_9,0_11_10_8_6_4_1_2_3_5_7_9,0
0_11_10_8_6_9_2_1_7_5_3_4,0_11_10_8_6_9_2_1_7_5_3_4,0
0_11_10_8_7_4_1_2_3_5_6_9,0_11_10_8_7_4_1_2_3_5_6_9,0
0_11_10_8_9_2_5_6_4_3_7_1,0_11_10_8_9_2_5_6_4_3_7_1,0
0_11_10_9_1_5_6_7_3_4_2_8,0_11_10_9_1_5_6_7_3_4_2_8,0
0_11_10_9_1_7_8_2_6_5_3_4,0_11_10_9_1_7_8_2_6_5_3_4,0
0_11_10_9_4_3_2_1_8_7_6_5,0_11_10_9_4_3_2_1_8_7_6_5,0
0_11_10_9_4_3_5_6_7_8_1_2,0_11_10_9_4_3_5_6_7_8_1_2,0
0_11_10_9_4_8_7_3_2_1_5_6,0_11_10_9_4_8_7_3_2_1_5_6,0
0_11_10_9_5_6_7_8_4_3_2_1,0_11_10_9_5_6_7_8_4_3_2_1,0
0_11_10_9_6_5_1_2_3_4_7_8,0_11_10_9_6_5_1_2_3_4_7_8,0
0_11_10_9_6_5_8_7_2_1_4_3,0_11_10_9_6_5_8_7_2_1_4_3,0
0_11_10_9_6_8_7_1_5_3_2_4,0_11_10_9_6_8_7_1_5_3_2_4,0
0_11_10_9_7_2_3_4_5_6_8_1,0_11_10_9_7_2_3_4_5_6_8_1,0
0_11_10_9_7_5_1_2_3_4_6_8,0_11_10_9_7_5_1_2_3_4_6_8,0
0_11_10_9_8_1_2_7_3_6_4_5,0_11_10_9_8_1_2_7_3_6_4_5,0
0_11_10_9_8_1_7_2_6_5_3_4,0_11_10_9_8_1_7_2_6_5_3_4,0
0_11_10_9_8_2_3_4_5_6_7_1,0_11_10_9_8_2_3_4_5_6_7_1,0
0_11_10_9_8_3_4_7_6_5_1_2,0_11_10_9_8_3_4_7_6_5_1_2,0
0_11_10_9_8_6_1_2_3_4_5_7,0_11_10_9_8_6_1_2_3_4_5_7,0
0_11_10_9_8_7_1_2_3_4_5_6,0_11_10_9_8_7_1_2_3_4_5_6,0
0_11_10_9_8_7_4_6_5_3_1_2,0_11_10_9_8_7_4_6_5_3_1_2,0
0_11_10_9_8_7_5_6_4_3_1_2,0_11_10_9_8_7_5_6_4_3_1_2,0
0_11_10_9_8_7_6_5_4_3_2_1,0_11_10_9_8_7_6_5_4_3_2_1,0
0_11_1_10_2_3_8_9_5_6_4_7,0_11_1_10_2_3_8_9_5_6_4_7,0
0_11_1_10_2_3_9_4_5_7_8_6,0_11_1_10_2_3_9_4_5_7_8_6,0
0_11_1_10_2_3_9_4_5_8_7_6,0_11_1_10_2_3_9_4_5_8_7_6,0
0_11_1_10_2_4_7_9_8_5_3_6,0_11_1_10_2_4_7_9_8_5_3_6,0
0_11_1_10_2_7_8_5_6_9_4_3,0_11_1_10_2_7_8_5_6_9_4_3,0
0_11_1_10_2_9_3_4_8_6_5_7,0_11_1_10_2_9_3_4_8_6_5_7,0
0_11_1_10_2_9_3_8_4_7_5_6,0_11_1_10_2_9_3_8_4_7_5_6,0
0_11_1_10_2_9_6_5_7_4_8_3,0_11_1_10_2_9_6_5_7_4_8_3,0
0_11_1_10_2_9_8_3_4_5_6_7,0_11_1_10_2_9_8_3_4_5_6_7,0
0_11_1_10_6_8_9_5_7_3_2_4,0_11_1_10_6_8_9_5_7_3_2_4,0
0_11_1_10_8_3_4_6_5_2_7_9,0_11_1_10_8_3_4_6_5_2_7_9,0
0_11_1_10_8_7_9_6_4_3_5_2,0_11_1_10_8_7_9_6_4_3_5_2,0
0_11_1_10_8_9_3_2_4_7_5_6,0_11_1_10_8_9_3_2_4_7_5_6,0
0_11_1_2_10_3_4_9_5_6_8_7,0_11_1_2_10_3_4_9_5_6_8_7,0
0_11_1_2_10_3_9_4_5_6_7_8,0_11_1_2_10_3_9_4_5_6_7_8,0
0_11_1_2_10_4_3_9_5_6_7_8,0_11_1_2_10_4_3_9_5_6_7_8,0
0_11_1_2_3_10_4_9_8_7_5_6,0_11_1_2_3_10_4_9_8_7_5_6,0
0_11_1_2_3_4_5_6_9_7_8_10,0_11_1_2_3_4_5_6_9_7_8_10,0
0_11_1_2_3_6_8_4_7_5_10_9,0_11_1_2_3_6_8_4_7_5_10_9,0
0_11_1_2_4_3_5_6_7_8_9_10,0_11_1_2_4_3_5_6_7_8_9_10,0
0_11_1_2_4_3_5_6_8_7_9_10,0_11_1_2_4_3_5_6_8_7_9_10,0
